Historical Sales,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Customer,Id,Region,Diesel Quota,,Tanks,Product,,04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016
,,,,,,90040246-5,BIODIESEL B7 (RETAIL),Sales,4011,4192,3980,4122,2980,2289,3021
,,,,,,,,Stock,19022,14826,8200,15787,12609,19766,
,,,,,,,,,,,,,,,
,STESEN ALSIRA,90040300,CENTR2,32152,,90040300-1,PRIMAX 97,Sales,733,587,462,648,652,730,605
,,,,,,,,Stock,10870,10137,9550,9088,8435,7783,
,,,,,,90040300-4,BIODIESEL B7 (RETAIL),Sales,1267,1120,1191,1086,867,497,1580
,,,,,,,,Stock,9228,7961,6841,5650,10024,8157,
,,,,,,90040300-3,PRIMAX 95,Sales,4774,4771,4728,4897,4970,5105,4818
,,,,,,,,Stock,16399,17475,23794,19619,15200,21326,
,,,,,,90040300-2,PRIMAX 95,Sales,4774,4772,4727,4898,4970,5105,4818
,,,,,,,,Stock,22552,11928,17906,12626,18630,7564,
,,,,,,,,,,,,,,,
,STESEN MINYAK AE MAJU JAYA,90040310,SOUTH1,27300,,90040310-2,PRIMAX 95,Sales,4049,4055,4251,4388,4463,4812,4306
,,,,,,,,Stock,24183,15928,13125,13125,23883,14954,
,,,,,,90040310-3,PRIMAX 95,Sales,4049,4055,4250,4388,4464,4812,4307
,,,,,,,,Stock,14463,14463,25483,17210,13632,13632,
,,,,,,90040310-1,PRIMAX 97,Sales,426,252,587,463,663,509,352
,,,,,,,,Stock,7835,7455,7222,6601,6155,5515,
,,,,,,90040310-4,BIODIESEL B7 (RETAIL),Sales,1472,1067,1186,447,599,455,960
,,,,,,,,Stock,5709,4283,8731,7453,12378,11873,
,,,,,,,,,,,,,,,
,SEMBAYU FLEET SERVICES,90040329,CENTR2,39719,,90040329-2,PRIMAX 97,Sales,887,1091,1385,837,1168,1647,1085
,,,,,,,,Stock,6701,5354,14973,13820,12884,11653,
,,,,,,90040329-4,PRIMAX 95,Sales,5854,5135,5320,5613,4686,6155,5595
,,,,,,,,Stock,20505,18588,20239,15655,19971,19422,
,,,,,,90040329-1,BIODIESEL B7 (RETAIL),Sales,1147,874,1153,1177,647,875,1493
,,,,,,,,Stock,9025,7574,6747,5687,9943,9298,
,,,,,,90040329-3,PRIMAX 95,Sales,5853,5135,5321,5613,4686,6154,5594
,,,,,,,,Stock,18983,9328,13669,24769,18983,10568,
,,,,,,,,,,,,,,,
,MESRA BESTARI ENTERPRISE,90040363,CENTR1,60060,,90040363-2,PRIMAX 97,Sales,1057,1068,1425,933,1301,937,982
,,,,,,,,Stock,7176,17014,15921,14471,13513,12187,
,,,,,,90040363-1,BIODIESEL B7 (RETAIL),Sales,4136,5808,4219,3910,3704,829,3922
,,,,,,,,Stock,16373,12187,11789,12980,14480,10726,
,,,,,,90040363-4,PRIMAX 95,Sales,4188,4063,4476,4282,4293,4006,4282
,,,,,,,,Stock,15683,16867,12816,12526,12639,17455,
,,,,,,90040363-3,PRIMAX 95,Sales,4188,4063,4476,4283,4292,4006,4281
,,,,,,,,Stock,14246,9902,11189,10013,11945,17159,
,,,,,,90040363-5,PRIMAX 95,Sales,4188,4063,4476,4282,4293,4006,4281
,,,,,,,,Stock,13117,14533,15928,14786,16174,9546,
,,,,,,,,,,,,,,,
,BCA SERVICES,90040460,CENTR2,28391,,90040460-4,BIODIESEL B7 (RETAIL),Sales,363,285,363,335,363,517,443
,,,,,,,,Stock,12218,11827,11418,10927,10418,9271,
,,,,,,90040460-2,PRIMAX 95,Sales,5691,3679,4024,4012,4024,4348,5002
,,,,,,,,Stock,20509,12673,10509,19673,20509,19637,
,,,,,,90040460-1,PRIMAX 95,Sales,5690,3679,4024,4012,4023,4348,5002
,,,,,,,,Stock,17007,16637,11007,19637,16007,13673,
,,,,,,90040460-3,PRIMAX 95,Sales,5691,3678,4024,4012,4024,4349,5001
,,,,,,,,Stock,20517,12690,12517,20690,20517,10690,
,,,,,,,,,,,,,,,
,SJ TRADE,90040476,CENTR2,36077,,90040476-4,PRIMAX 95,Sales,2339,2142,2170,2269,2285,2252,2576
,,,,,,,,Stock,19523,14569,9983,9983,19688,19688,
,,,,,,90040476-1,BIODIESEL B7 (RETAIL),Sales,621,871,595,920,704,134,777
,,,,,,,,Stock,9755,9059,8277,7706,6572,6169,
,,,,,,90040476-2,PRIMAX 95,Sales,2338,2142,2169,2269,2285,2253,2576
,,,,,,,,Stock,26398,26398,26398,21991,19644,15011,
,,,,,,90040476-3,PRIMAX 97,Sales,397,234,421,228,332,211,362
,,,,,,,,Stock,12770,12211,11973,11501,11265,11030,
,,,,,,,,,,,,,,,
,OSMAN JALANI BIN ABDUL HADI,90040483,EAST1,70980,,90040483-2,BIODIESEL B7 (RETAIL),Sales,1971,2316,2152,693,2341,2065,1547
,,,,,,,,Stock,9606,9698,5066,5066,10526,10526,
,,,,,,90040483-4,PRIMAX 95,Sales,2136,2134,2163,2027,2601,2754,1982
,,,,,,,,Stock,14832,14936,10668,10668,21588,21588,
,,,,,,90040483-1,BIODIESEL B7 (RETAIL),Sales,1971,2316,2152,694,2340,2065,1546
,,,,,,,,Stock,19201,15352,15352,11040,9653,4972,
,,,,,,90040483-3,PRIMAX 95,Sales,2136,2134,2164,2028,2600,2755,1983
,,,,,,,,Stock,11742,7116,18036,13732,15137,9936,
,,,,,,,,,,,,,,,
,SYNERGY IDEAL STATION,90040507,SOUTH2,98280,,90040507-2,PRIMAX 97,Sales,,831,1273,936,1115,1299,925
,,,,,,,,Stock,,,3352,2078,12316,11106,
,,,,,,90040507-1,BIODIESEL B7 (RETAIL),Sales,,5607,6564,5593,4460,2237,7603
,,,,,,,,Stock,,,14614,18857,18714,19800,
,,,,,,90040507-3,PRIMAX 95,Sales,,6379,6537,6278,6019,6606,5784
,,,,,,,,Stock,,,10400,13385,17213,17023,
,,,,,,90040507-4,PRIMAX 95,Sales,,6380,6537,6278,6018,6605,5784
,,,,,,,,Stock,,,16013,21786,21613,20685,
,,,,,,,,,,,,,,,
,SURABAYA ENTERPRISE,90040511,NORTH2,109200,,90040511-2,PRIMAX 97,Sales,300,,400,,400,300,400
,,,,,,,,Stock,14700,14300,,13700,,12900,
,,,,,,90040511-4,PRIMAX 95,Sales,3300,,2950,,3800,3500,3150
,,,,,,,,Stock,25700,25700,,23100,,23600,
,,,,,,90040511-1,BIODIESEL B7 (RETAIL),Sales,6900,,5300,,5700,2000,5500
,,,,,,,,Stock,21000,14200,,19400,,18700,
,,,,,,90040511-3,PRIMAX 95,Sales,3300,,2950,,3800,3500,3150
,,,,,,,,Stock,22100,15200,,16400,,16800,
,,,,,,,,,,,,,,,
,SA SUTERA MARKETING,90040515,NORTH1,49140,,90040515-4,PRIMAX 95,Sales,5568,5685,5416,5287,5007,5539,5489
,,,,,,,,Stock,19145,19073,13526,18929,13676,19917,
,,,,,,90040515-2,BIODIESEL B7 (RETAIL),Sales,985,1469,740,1351,1097,560,1843
,,,,,,,,Stock,8103,8103,8103,7038,4036,1935,
,,,,,,90040515-5,PRIMAX 95,Sales,5569,5685,5416,5286,5006,5539,5489
,,,,,,,,Stock,14939,20475,14480,20071,14633,20071,
,,,,,,90040515-1,BIODIESEL B7 (RETAIL),Sales,986,1468,740,1352,1098,559,1844
,,,,,,,,Stock,7554,5590,2474,8044,8044,13700,
,,,,,,90040515-3,PRIMAX 97,Sales,413,438,343,386,467,326,352
,,,,,,,,Stock,24079,23832,23444,23052,22653,22321,
,,,,,,,,,,,,,,,
,RAHIMI IDEAL FLOW,90040518,NORTH1,125580,,90040518-1,BIODIESEL B7 (RETAIL),Sales,3073,2841,3478,2248,2082,1342,2595
,,,,,,,,Stock,12844,15002,10257,9799,7092,17972,
,,,,,,90040518-5,PRIMAX 95,Sales,4978,3787,5487,4896,5830,6028,5786
,,,,,,,,Stock,16028,22359,17261,23747,20414,23145,
,,,,,,90040518-3,PRIMAX 97,Sales,189,344,702,429,400,297,505
,,,,,,,,Stock,12291,11984,11447,10856,10550,15701,
,,,,,,90040518-2,BIODIESEL B7 (RETAIL),Sales,3074,2842,3477,2248,2083,1341,2594
,,,,,,,,Stock,18531,18589,18531,18677,18545,18691,
,,,,,,90040518-4,PRIMAX 95,Sales,4977,3787,5486,4895,5830,6027,5786
,,,,,,,,Stock,15746,15954,11501,18091,15074,17913,
,,,,,,,,,,,,,,,
,RICH ENERGY TRADING,90040528,CENTR3,299625,,90040528-2,PRIMAX 95,Sales,6351,4939,4876,5109,6185,6274,6268
,,,,,,,,Stock,14693,18823,24092,18902,14534,14534,
,,,,,,90040528-7,BIODIESEL B7 (RETAIL),Sales,7687,6870,9696,9388,7067,3002,7077
,,,,,,,,Stock,18680,18044,16261,18364,8609,15257,
,,,,,,90040528-4,PRIMAX 95,Sales,6351,4940,4878,5110,6185,6273,6268
,,,,,,,,Stock,15204,22253,17733,25381,19820,16949,
,,,,,,90040528-1,PRIMAX 97,Sales,2582,2108,1743,2110,2680,2119,2361
,,,,,,,,Stock,15683,13415,16457,20142,18584,13963,
,,,,,,90040528-3,PRIMAX 95,Sales,6351,4939,4878,5109,6185,6273,6266
,,,,,,,,Stock,18629,18166,20686,21695,15761,20842,
,,,,,,90040528-6,BIODIESEL B7 (RETAIL),Sales,7687,6869,9696,9387,7066,3002,7077
,,,,,,,,Stock,17059,17933,19920,15564,7020,14708,
,,,,,,90040528-5,PRIMAX 95,Sales,6351,4939,4878,5109,6184,6273,6268
,,,,,,,,Stock,14550,13120,23789,21754,17425,15661,
,,,,,,,,,,,,,,,
,MIMSBZ ENTERPRISE,90040535,NORTH1,136500,,90040535-1,BIODIESEL B7 (RETAIL),Sales,3010,2725,2479,1740,2506,1845,2230
,,,,,,,,Stock,18165,15925,15325,9612,20220,17344,
,,,,,,90040535-4,PRIMAX 95,Sales,4283,4253,4594,4378,4951,5158,4558
,,,,,,,,Stock,22230,17757,23638,17292,19474,19503,
,,,,,,90040535-3,PRIMAX 97,Sales,707,579,834,653,797,762,602
,,,,,,,,Stock,6635,5875,11026,10153,15067,14206,
,,,,,,90040535-6,PRIMAX 95,Sales,4282,4254,4594,4378,4951,5158,4558
,,,,,,,,Stock,16278,14118,20799,17462,23948,18339,
,,,,,,90040535-5,PRIMAX 95,Sales,4283,4253,4595,4378,4950,5158,4559
,,,,,,,,Stock,21509,15719,22565,18682,23519,14891,
,,,,,,90040535-2,BIODIESEL B7 (RETAIL),Sales,3009,2726,2479,1739,2505,1846,2231
,,,,,,,,Stock,22183,18668,19156,19721,16719,14698,
,,,,,,,,,,,,,,,
,STESEN MI MESRA,90040543,CENTR1,114660,,90040543-4,PRIMAX 95,Sales,6277,6039,6002,6073,7201,7285,6365
,,,,,,,,Stock,19338,12857,17853,15847,19196,16582,
,,,,,,90040543-5,PRIMAX 95,Sales,6276,6038,6002,6072,7201,7285,6365
,,,,,,,,Stock,18304,11761,16947,15151,18448,16304,
,,,,,,90040543-1,BIODIESEL B7 (RETAIL),Sales,5351,5819,6189,5420,3334,1732,5248
,,,,,,,,Stock,20106,14820,14504,13823,13777,16009,
,,,,,,90040543-2,PRIMAX 97,Sales,825,967,899,1155,1117,946,986
,,,,,,,,Stock,14805,14113,13196,12267,10890,9680,
,,,,,,90040543-3,PRIMAX 95,Sales,6277,6039,6003,6072,7200,7286,6365
,,,,,,,,Stock,21626,15417,20019,16489,13797,13150,
,,,,,,,,,,,,,,,
,JAMILAH MAMAT ENTERPRISE,90040554,EAST2,0,,90040554-3,PRIMAX 95,Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,90040554-1,BIODIESEL B7 (RETAIL),Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,90040554-2,PRIMAX 95,Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,90040554-4,PRIMAX 95,Sales,,,,,,,
,,,,,,,,Stock,,,,,,,
,,,,,,,,,,,,,,,
,PETRO MESRA PITSTOP,90040557,SOUTH1,76440,,90040557-3,PRIMAX 95,Sales,8974,7201,7254,7765,8934,8790,8349
,,,,,,,,Stock,18870,22884,22884,22624,18870,18688,
,,,,,,90040557-4,PRIMAX 95,Sales,8973,7201,7255,7765,8934,8789,8349
,,,,,,,,Stock,16691,19269,21905,22829,20401,20401,
,,,,,,90040557-1,BIODIESEL B7 (RETAIL),Sales,4335,5103,4692,5971,4896,3082,3401
,,,,,,,,Stock,20492,20492,15671,16532,16836,16532,
,,,,,,90040557-2,PRIMAX 97,Sales,1134,893,885,825,1361,1370,1422
,,,,,,,,Stock,10439,14728,14102,12869,11947,10738,
,,,,,,,,,,,,,,,
,WIRDA ISMA DUA ENTERPRISE,90040561,SOUTH2,60060,,90040561-2,PRIMAX 95,Sales,2919,2848,3030,3288,2818,2725,2633
,,,,,,,,Stock,20124,21165,18468,17774,16288,10816,
,,,,,,90040561-3,PRIMAX 97,Sales,622,422,518,424,349,618,402
,,,,,,,,Stock,10053,9345,8938,8503,8109,7823,
,,,,,,90040561-1,PRIMAX 95,Sales,2920,2848,3031,3288,2818,2726,2633
,,,,,,,,Stock,14430,24189,20569,20569,15406,15330,
,,,,,,90040561-4,BIODIESEL B7 (RETAIL),Sales,3845,3007,3189,2731,2209,2341,3039
,,,,,,,,Stock,20073,15673,11972,19025,16246,14089,
,,,,,,,,,,,,,,,
,IDT ENTERPRISE,90040585,NORTH2,223860,,90040585-1,BIODIESEL B7 (RETAIL),Sales,5016,4991,5850,5241,4884,4188,4155
,,,,,,,,Stock,18341,17814,17090,10027,19212,19053,
,,,,,,90040585-2,BIODIESEL B7 (RETAIL),Sales,5016,4991,5849,5241,4884,4188,4155
,,,,,,,,Stock,20913,21441,23199,19785,20913,16867,
,,,,,,90040585-3,PRIMAX 97,Sales,1470,1825,1076,934,1409,1487,1690
,,,,,,,,Stock,9939,8759,7028,17031,15676,14090,
,,,,,,90040585-4,PRIMAX 95,Sales,4578,3107,3048,3721,4881,5513,4478
,,,,,,,,Stock,13433,21345,23836,20285,20888,21110,
,,,,,,90040585-5,PRIMAX 95,Sales,4577,3108,3047,3722,4882,5512,4477
,,,,,,,,Stock,10231,17460,25216,22387,23329,18195,
,,,,,,,,,,,,,,,
,ALYA SARA UMARUDDIN ENTERPRISE,90040594,CENTR1,21840,,90040594-1,PRIMAX 95,Sales,8651,7845,7762,9019,7302,7475,8237
,,,,,,,,Stock,21218,20189,24602,17471,19746,18474,
,,,,,,90040594-2,PRIMAX 95,Sales,8651,7845,7762,9020,7303,7475,8237
,,,,,,,,Stock,17305,18485,20855,12490,14519,17634,
,,,,,,90040594-3,PRIMAX 95,Sales,8652,7844,7763,9020,7302,7475,8236
,,,,,,,,Stock,20094,21309,23550,15548,17551,21146,
,,,,,,90040594-4,BIODIESEL B7 (RETAIL),Sales,1795,1701,1363,2154,915,1444,1268
,,,,,,,,Stock,11052,9303,12982,11487,9564,8274,
,,,,,,,,,,,,,,,
,RN STATION,90040595,SOUTH2,163800,,90040595-1,BIODIESEL B7 (RETAIL),Sales,6303,6961,15280,11675,8531,4220,14742
,,,,,,,,Stock,22856,22092,15548,11037,15425,18166,
,,,,,,90040595-2,PRIMAX 95,Sales,4241,4176,4356,4681,5521,4745,4111
,,,,,,,,Stock,17038,14005,16448,18367,15552,17299,
,,,,,,90040595-3,PRIMAX 95,Sales,4241,4177,4356,4681,5521,4746,4111
,,,,,,,,Stock,14991,16491,18362,19133,14388,14520,
,,,,,,90040595-4,PRIMAX 95,Sales,4242,4177,4355,4681,5520,4745,4111
,,,,,,,,Stock,12963,13133,12671,18352,16992,15172,
,,,,,,,,,,,,,,,
,SOFAN STATION,90040598,NORTH2,76440,,90040598-2,PRIMAX 95,Sales,2663,2510,2518,2667,3187,3417,2563
,,,,,,,,Stock,17653,17653,22724,17724,24921,20363,
,,,,,,90040598-4,BIODIESEL B7 (RETAIL),Sales,8012,6312,5190,4944,5371,2088,8063
,,,,,,,,Stock,20701,12833,17224,11891,17867,18010,
,,,,,,90040598-3,PRIMAX 95,Sales,2663,2510,2518,2667,3187,3418,2563
,,,,,,,,Stock,19400,11601,19559,19559,20092,25864,
,,,,,,90040598-1,PRIMAX 95,Sales,2663,2511,2518,2667,3187,3417,2564
,,,,,,,,Stock,17264,17264,18399,15734,21772,21772,
,,,,,,,,,,,,,,,
,ANTARA QDUA ENTERPRISE,90040603,CENTR1,38220,,90040603-1,BIODIESEL B7 (RETAIL),Sales,2100,2200,1960,1400,1625,1256,2296
,,,,,,,,Stock,11526,14908,12638,10938,9159,13086,
,,,,,,90040603-4,PRIMAX 95,Sales,10466,8666,9579,9534,9902,8048,10391
,,,,,,,,Stock,23198,4106,23637,11805,20170,1529,
,,,,,,90040603-3,PRIMAX 97,Sales,1400,750,1228,900,1142,1170,1054
,,,,,,,,Stock,9867,8519,7498,6411,16302,15481,
,,,,,,90040603-2,PRIMAX 95,Sales,10467,8667,9578,9533,9902,8047,10392
,,,,,,,,Stock,23515,22731,14378,24709,3087,18265,
,,,,,,90040603-5,PRIMAX 95,Sales,10467,8667,9579,9533,9902,8048,10391
,,,,,,,,Stock,626,21259,17042,17999,18228,24220,
,,,,,,,,,,,,,,,
,KIMIBABA PETROL STATION,90040610,SOUTH1,16380,,90040610-3,PRIMAX 95,Sales,4864,,4728,5065,4760,5628,4672
,,,,,,,,Stock,18166,19286,,21306,19012,22104,
,,,,,,90040610-1,BIODIESEL B7 (RETAIL),Sales,554,,547,528,589,357,696
,,,,,,,,Stock,10256,9945,,8874,8358,7709,
,,,,,,90040610-2,PRIMAX 97,Sales,933,,621,591,747,614,472
,,,,,,,,Stock,10249,9162,,7991,7713,6612,
,,,,,,90040610-4,PRIMAX 95,Sales,4864,,4729,5066,4760,5628,4673
,,,,,,,,Stock,17098,16382,,17098,14594,18251,
,,,,,,,,,,,,,,,
,ROSHAN JAAN ENTERPRISE,90040613,CENTR2,64386,,90040613-2,PRIMAX 97,Sales,217,13,271,142,328,164,62
,,,,,,,,Stock,10413,10196,10183,9912,9770,9442,
,,,,,,90040613-1,PRIMAX 95,Sales,4551,4162,4554,4632,4506,4960,4588
,,,,,,,,Stock,10750,17119,12956,19322,20149,15642,
,,,,,,90040613-3,BIODIESEL B7 (RETAIL),Sales,1989,2415,2188,2709,1229,929,2710
,,,,,,,,Stock,11856,15327,12912,10768,13519,12290,
,,,,,,90040613-4,PRIMAX 95,Sales,4551,4163,4554,4633,4507,4959,4588
,,,,,,,,Stock,10750,17119,12957,19322,20149,15642,
,,,,,,,,,,,,,,,
,ZMN ALAM DAMAI ENTERPRISE,90040648,CENTR3,21905,,90040648-4,PRIMAX 95,Sales,4298,6449,5391,6003,5749,,5768
,,,,,,,,Stock,19670,19094,13640,19012,18378,12731,
,,,,,,90040648-1,BIODIESEL B7 (RETAIL),Sales,1257,1089,2135,1194,814,,1197
,,,,,,,,Stock,20506,19234,18426,16286,15230,14391,
,,,,,,90040648-2,PRIMAX 97,Sales,429,906,884,743,1231,,706
,,,,,,,,Stock,14825,14132,13462,12454,11808,10492,
,,,,,,90040648-3,PRIMAX 95,Sales,4298,6450,5390,6003,5748,,5769
,,,,,,,,Stock,15656,20846,16039,16314,20791,15209,
,,,,,,,,,,,,,,,
,HANZ BIZ SERVICES,90040677,CENTR1,49140,,90040677-3,PRIMAX 95,Sales,5012,4892,4531,4725,5503,4937,4655
,,,,,,,,Stock,16868,12385,18194,13580,19785,14029,
,,,,,,90040677-1,PRIMAX 95,Sales,5011,4892,4532,4725,5504,4938,4655
,,,,,,,,Stock,16870,11496,17091,12685,18924,13133,
,,,,,,90040677-2,PRIMAX 95,Sales,5011,4892,4531,4725,5504,4937,4654
,,,,,,,,Stock,19285,14031,14929,10612,16423,11792,
,,,,,,90040677-4,PRIMAX 97,Sales,679,630,491,604,707,708,651
,,,,,,,,Stock,12239,11571,10906,10466,9883,9161,
,,,,,,90040677-5,BIODIESEL B7 (RETAIL),Sales,2985,2251,1729,2698,1430,1032,1724
,,,,,,,,Stock,15378,12535,18194,13580,6114,4700,
,,,,,,,,,,,,,,,
,YUSZHA ENTERPRISE,90040680,CENTR2,63542,,90040680-1,BIODIESEL B7 (RETAIL),Sales,1837,2353,2083,3021,2449,1538,2712
,,,,,,,,Stock,16285,14625,12085,9967,12052,9369,
,,,,,,90040680-2,PRIMAX 95,Sales,6695,6659,6436,7312,5462,4949,6354
,,,,,,,,Stock,25799,11289,22639,21847,17768,12638,
,,,,,,90040680-3,PRIMAX 95,Sales,6695,6658,6436,7313,5462,4949,6354
,,,,,,,,Stock,24091,20074,20170,17396,18896,6383,
,,,,,,90040680-4,PRIMAX 95,Sales,6694,6658,6435,7312,5461,4949,6355
,,,,,,,,Stock,24076,20758,23176,10380,15007,16385,
,,,,,,,,,,,,,,,
,JDS MURNI ENTERPRISE,90040686,CENTR2,115772,,90040686-4,PRIMAX 95,Sales,4679,3878,3751,4017,4663,4790,4621
,,,,,,,,Stock,13948,14729,16311,12560,19463,13799,
,,,,,,90040686-1,BIODIESEL B7 (RETAIL),Sales,3482,2901,3016,2872,3047,1521,3964
,,,,,,,,Stock,2197,4230,18086,15070,17658,14611,
,,,,,,90040686-2,PRIMAX 97,Sales,815,654,396,544,843,441,613
,,,,,,,,Stock,7235,6420,5766,16290,15746,14903,
,,,,,,90040686-3,BIODIESEL B7 EURO5 (RETAIL),Sales,196,375,196,143,200,184,5
,,,,,,,,Stock,15870,15674,15299,15103,14960,14760,
,,,,,,90040686-5,PRIMAX 95,Sales,4679,3877,3750,4017,4664,4790,4621
,,,,,,,,Stock,14778,15559,17141,13390,14833,10170,
,,,,,,,,,,,,,,,
,IMANTAQWA SERVICE STATION,90040690,NORTH1,10920,,90040690-2,PRIMAX 95,Sales,4329,3906,4297,4346,4935,3800,4178
,,,,,,,,Stock,16984,18171,14349,20575,17013,22885,
,,,,,,90040690-4,BIODIESEL B7 (RETAIL),Sales,1149,694,948,1009,481,490,588
,,,,,,,,Stock,9126,7994,7563,6412,5358,10875,
,,,,,,90040690-3,PRIMAX 97,Sales,615,511,795,761,660,555,679
,,,,,,,,Stock,7401,6842,6294,5493,4714,9553,
,,,,,,90040690-1,PRIMAX 95,Sales,4328,3906,4296,4347,4935,3799,4178
,,,,,,,,Stock,13595,20292,15997,17738,13364,13872,
,,,,,,,,,,,,,,,
,HEIZA ENTERPRISE,90040720,NORTH1,32760,,90040720-2,PRIMAX 97,Sales,647,849,422,453,561,320,630
,,,,,,,,Stock,3711,8147,7828,7392,6894,6292,
,,,,,,90040720-4,PRIMAX 95,Sales,2877,3461,3441,3352,3546,3242,3158
,,,,,,,,Stock,16184,23217,20287,16709,18385,14731,
,,,,,,90040720-1,BIODIESEL B7 (RETAIL),Sales,1061,2828,1872,1789,1520,977,1120
,,,,,,,,Stock,15030,18682,16271,14506,18181,16640,
,,,,,,90040720-3,PRIMAX 95,Sales,2878,3462,3441,3352,3546,3242,3158
,,,,,,,,Stock,11104,19255,16050,14731,20700,17231,
,,,,,,,,,,,,,,,
,FIZZILI SERVICES,90040723,CENTR1,240240,,90040723-3,PRIMAX 95,Sales,3830,3687,3750,3955,3823,2984,3722
,,,,,,,,Stock,17393,12925,14234,15105,15929,16954,
,,,,,,90040723-1,BIODIESEL B7 (RETAIL),Sales,4299,6318,5856,5553,2559,970,6880
,,,,,,,,Stock,23544,19269,18561,12713,12638,20990,
,,,,,,90040723-5,PRIMAX 95,Sales,3831,3688,3749,3955,3822,2984,3722
,,,,,,,,Stock,18283,13953,15192,16154,17140,12614,
,,,,,,90040723-2,PRIMAX 97,Sales,879,910,947,1046,1427,792,682
,,,,,,,,Stock,9736,8845,7913,6960,5982,15258,
,,,,,,90040723-4,PRIMAX 95,Sales,3830,3688,3750,3954,3822,2983,3722
,,,,,,,,Stock,17644,13206,14275,15074,15913,11391,
,,,,,,,,,,,,,,,
,TUAH S JATI ENTERPRISE,90040731,CENTR1,54600,,90040731-2,PRIMAX 97,Sales,569,583,516,503,557,605,526
,,,,,,,,Stock,7710,7134,6512,5991,10960,10411,
,,,,,,90040731-1,BIODIESEL B7 (RETAIL),Sales,3010,2946,3022,2875,6246,3091,3173
,,,,,,,,Stock,22169,19165,16210,18703,21267,15020,
,,,,,,90040731-3,PRIMAX 95,Sales,4935,5457,5264,5413,5630,5681,5579
,,,,,,,,Stock,17771,21199,15404,15869,21077,15792,
,,,,,,90040731-4,PRIMAX 95,Sales,4936,5458,5263,5413,5629,5681,5579
,,,,,,,,Stock,17265,20236,15111,21038,21314,15273,
,,,,,,,,,,,,,,,
,SABAZ ENTERPRISE,90040735,CENTR1,16380,,90040735-2,PRIMAX 95,Sales,3830,4262,4033,4100,4043,4273,3987
,,,,,,,,Stock,17654,11777,5735,15777,10202,19380,
,,,,,,90040735-5,BIODIESEL B7 (RETAIL),Sales,905,1692,1490,1941,1230,1173,1767
,,,,,,,,Stock,9243,8368,6708,10587,8658,7576,
,,,,,,90040735-1,PRIMAX 97,Sales,1069,1070,1075,1271,1383,1366,702
,,,,,,,,Stock,12601,11561,10601,9496,8313,6986,
,,,,,,90040735-3,PRIMAX 95,Sales,3830,4262,4033,4100,4043,4272,3987
,,,,,,,,Stock,17353,15329,12355,20137,18820,17055,
,,,,,,90040735-4,PRIMAX 95,Sales,3831,4261,4033,4099,4043,4272,3987
,,,,,,,,Stock,19164,15213,11922,24580,19415,21222,
,,,,,,,,,,,,,,,
,FADHLYN ENTERPRISE,90040750,CENTR3,57392,,90040750-2,PRIMAX 97,Sales,1864,2371,2564,2102,1686,1435,1950
,,,,,,,,Stock,11200,9304,7468,4827,13753,11791,
,,,,,,90040750-1,BIODIESEL B7 (RETAIL),Sales,1877,1878,1750,2116,1307,716,2023
,,,,,,,,Stock,12120,10259,8435,6737,4236,8596,
,,,,,,90040750-3,PRIMAX 95,Sales,8095,8299,8141,8960,7184,5167,8022
,,,,,,,,Stock,25273,17460,14330,17902,14031,13581,
,,,,,,90040750-4,PRIMAX 95,Sales,8095,8298,8141,8959,7184,5167,8022
,,,,,,,,Stock,18486,8025,13580,17311,7885,13430,
,,,,,,90040750-5,PRIMAX 95,Sales,8096,8298,8142,8959,7185,5167,8021
,,,,,,,,Stock,25042,18778,18487,18487,15377,18048,
,,,,,,,,,,,,,,,
,STESEN SERVIS ESTARIS,90040785,SOUTH2,54600,,90040785-3,PRIMAX 95,Sales,9120,8833,9246,9410,9949,11136,10044
,,,,,,,,Stock,23646,24928,20279,23475,12155,20733,
,,,,,,90040785-4,PRIMAX 95,Sales,9120,8833,9247,9411,9948,11136,10045
,,,,,,,,Stock,17995,20096,23369,23242,26702,15223,
,,,,,,90040785-1,BIODIESEL B7 (RETAIL),Sales,3059,3446,4216,1878,2745,2920,4963
,,,,,,,,Stock,15195,17741,19605,15383,18796,21404,
,,,,,,90040785-2,PRIMAX 97,Sales,3600,2915,3266,3775,4080,4476,3826
,,,,,,,,Stock,14389,22013,19168,16498,12179,18900,
,,,,,,,,,,,,,,,
,QALIQ HS ENTERPRISE,90040788,CENTR1,305760,,90040788-1,BIODIESEL B7 (RETAIL),Sales,14242,13530,12548,14431,12181,7064,13376
,,,,,,,,Stock,17272,24433,20865,19470,4504,13825,
,,,,,,90040788-2,PRIMAX 97,Sales,3073,3385,2120,2578,3483,3144,2313
,,,,,,,,Stock,10440,18448,14728,12562,20773,17446,
,,,,,,90040788-3,PRIMAX 95,Sales,9140,7254,7397,9773,9825,9393,8766
,,,,,,,,Stock,16692,21784,25566,22909,11449,14200,
,,,,,,90040788-4,PRIMAX 95,Sales,9140,7253,7397,9772,9824,9394,8766
,,,,,,,,Stock,18167,17012,20907,21975,13179,15811,
,,,,,,90040788-5,PRIMAX 95,Sales,9140,7254,7396,9773,9825,9393,8766
