Historical Sales,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Customer,Id,Region,Diesel Quota,,Tanks,Product,,04/10/2016,05/10/2016,06/10/2016,07/10/2016,08/10/2016,09/10/2016,10/10/2016
,,,,,,90000573-2,PRIMAX 95,Sales,2733,2766,3000,3167,3734,3433,2833
,,,,,,,,Stock,8500,14000,12500,6800,16700,80,
,,,,,,90000573-4,BIODIESEL B7 (RETAIL),Sales,3600,4500,2100,2100,3600,3200,3100
,,,,,,,,Stock,10300,12100,12900,10700,14000,10300,
,,,,,,,,,,,,,,,
,SITIHAM ENTERPRISE,90000578,SOUTH2,21840,,90000578-1,PRIMAX 97,Sales,1281,920,1228,1040,1992,1640,1515
,,,,,,,,Stock,16374,15068,14178,13246,11910,9941,
,,,,,,90000578-3,PRIMAX 95,Sales,4725,3474,4263,4291,4988,4899,4162
,,,,,,,,Stock,17185,24366,22213,13132,5077,17328,
,,,,,,90000578-2,PRIMAX 95,Sales,4724,3475,4263,4292,4988,4898,4163
,,,,,,,,Stock,13910,19665,25566,25566,24707,18858,
,,,,,,90000578-4,BIODIESEL B7 (RETAIL),Sales,1235,625,891,975,830,437,1116
,,,,,,,,Stock,7236,6013,10806,9661,8821,8205,
,,,,,,,,,,,,,,,
,OMAR SERVICE STATION,90000583,SOUTH1,163800,,90000583-4,PRIMAX 97,Sales,839,697,878,657,898,717,877
,,,,,,,,Stock,,9689,8848,6291,12851,12953,
,,,,,,90000583-1,PRIMAX 95,Sales,4342,4158,4144,4742,4492,5078,4838
,,,,,,,,Stock,,12602,20573,13514,18706,15573,
,,,,,,90000583-2,PRIMAX 95,Sales,4343,4157,4145,4742,4493,5078,4837
,,,,,,,,Stock,,14941,17439,13574,18443,13486,
,,,,,,90000583-3,PRIMAX 95,Sales,4342,4157,4145,4742,4492,5077,4838
,,,,,,,,Stock,,15101,18067,19826,18101,12235,
,,,,,,90000583-5,BIODIESEL B7 (RETAIL),Sales,5291,5872,3704,3457,3506,2587,5944
,,,,,,,,Stock,,17588,15741,13352,19753,15455,
,,,,,,,,,,,,,,,
,QANA'AH PETROL STATIONS,90000605,SOUTH2,54600,,90000605-2,PRIMAX 95,Sales,3640,3905,3425,4235,5110,5145,3905
,,,,,,,,Stock,21350,14070,24990,24990,16520,17220,
,,,,,,90000605-3,BIODIESEL B7 (RETAIL),Sales,1690,2260,2340,2740,1680,1020,2930
