Textbox78,Textbox20,Textbox24,Textbox28,Textbox32,Textbox36,Textbox8,Id,Id1,Textbox2,Textbox95,TfpId,Textbox5,Textbox79,Textbox21,Textbox25,Textbox29,Textbox33,Textbox37,Textbox9,Textbox67,Textbox68,Textbox69,Textbox70,Textbox73,Textbox76,Textbox82
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,LUBITRADE SDN BHD,90000226,NORTH1,32760,90000226-1,PRIMAX 95,3331,3337,3109,3047,3103,3267,2912,24743,16634,8312,17100,9796,1849,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,LUBITRADE SDN BHD,90000226,NORTH1,32760,90000226-2,PRIMAX 95,3332,3337,3109,3046,3102,3267,2911,25782,25782,25782,25782,25782,25782,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,PMS MZH ENTERPRISE,90000240,NORTH1,76440,90000240-3,PRIMAX 95,5239,4119,4355,4070,3937,3956,3509,19505,19506,25273,20065,26175,17929,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,PMS MZH ENTERPRISE,90000240,NORTH1,76440,90000240-2,PRIMAX 95,5239,4119,4355,4070,3937,3956,3509,24799,9256,13283,4870,15365,15365,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,PMS MZH ENTERPRISE,90000240,NORTH1,76440,90000240-4,PRIMAX 95,5238,4118,4354,4071,3937,3956,3509,15038,14881,25700,25793,24352,20093,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,PMS MZH ENTERPRISE,90000240,NORTH1,76440,90000240-1,BIODIESEL B7 (RETAIL),2873,1295,1588,2600,2332,1539,1896,17850,15148,19257,17701,20176,17851,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,NOMAZ PETRO SERVIS ENTERPRISE,90000242,NORTH2,49140,90000242-1,PRIMAX 95,4678,4035,3866,4068,3705,2952,3641,23425,23129,18241,25055,19450,24907,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,NOMAZ PETRO SERVIS ENTERPRISE,90000242,NORTH2,49140,90000242-2,PRIMAX 95,4677,4034,3866,4069,3705,2953,3642,16735,17333,13834,14804,11508,21021,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,NOMAZ PETRO SERVIS ENTERPRISE,90000242,NORTH2,49140,90000242-3,PRIMAX 97,312,268,511,475,305,249,373,11060,10711,10431,9876,9457,9059,
08/10/2016,09/10/2016,10/10/2016,11/10/2016,12/10/2016,13/10/2016,14/10/2016,NOMAZ PETRO SERVIS ENTERPRISE,90000242,NORTH2,49140,90000242-4,BIODIESEL B7 (RETAIL),1523,866,2247,2646,2206,1729,2130,13527,17396,16709,15099,13459,15557,
